timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688924754364,832,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,831,0,0
1688924755352,182,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,182,0,0
1688924756346,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,181,0,0
1688924757348,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,181,0,0
1688924758351,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,181,0,0
1688924759350,489,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,489,0,0
1688924760344,491,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,491,0,0
1688924761344,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924762351,494,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,494,0,0
1688924763350,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924764351,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,181,0,0
1688924765354,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,181,0,0
1688924766347,178,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,178,0,0
1688924767346,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924768348,185,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,185,0,0
1688924769349,189,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,189,0,0
1688924770351,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924771348,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924772351,178,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,178,0,0
1688924773350,179,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,179,0,0
1688924774350,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924775352,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924776345,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924777346,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924778352,490,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,490,0,0
1688924779346,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924780346,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,181,0,0
1688924781347,486,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,486,0,0
1688924782346,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924783353,178,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,178,0,0
1688924784354,179,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,179,0,0
1688924785358,493,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,493,0,0
1688924786346,179,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,179,0,0
1688924787351,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924788349,486,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,486,0,0
1688924789345,493,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,493,0,0
1688924790348,491,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,491,0,0
1688924791353,488,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,488,0,0
1688924792349,178,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,178,0,0
1688924793351,493,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,493,0,0
1688924794344,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,181,0,0
1688924795345,179,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,179,0,0
1688924796350,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688924797344,178,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,178,0,0
1688925102486,845,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,843,0,0
1688925103468,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688925104472,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,181,0,0
1688925105468,182,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,182,0,0
1688925106472,182,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,182,0,0
1688925107469,489,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,489,0,0
1688925108469,179,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,179,0,0
1688925109467,492,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,492,0,0
1688925110469,491,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,491,0,0
1688925111468,493,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,493,0,0
1688925112470,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688925113467,492,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,492,0,0
1688925114469,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,181,0,0
1688925115474,490,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,490,0,0
1688925116467,499,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,499,0,0
1688925117465,181,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,181,0,0
1688925118467,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688925119466,491,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,491,0,0
1688925120468,492,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,492,0,0
1688925121466,491,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,491,0,0
1688925122470,179,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,179,0,0
1688925123465,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688925124473,489,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,489,0,0
1688925125468,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688925126466,180,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,180,0,0
1688925127471,179,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,179,0,0
1688925128472,178,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,178,0,0
1688925129468,186,ticker,200,OK,Bybit 1-1,text,true,,565,0,1,1,https://api.bybit.com/v5/market/time,186,0,0
